,image,bookName,author,publisher,price,title,text,pages,dimensons,publicationDate,language,isbn,interpreter
0,https://i.idefix.com/cache/500x400-0/originals/0000000253205-1.jpg,Avrupa'da Mülteci Olmak,Suat Şenocak,Ozan Yayıncılık,"38,5 TL",Avrupa'da Mülteci Olmak Kitap Açıklaması,"
'Ne karanlığın ortasındaki aydınlık, ne de aydınlığın içindeki karartıyım ben, tek bir gölgeyim. Ne derlerse desinler, ister karanlıktaki gölge, ister gölgedeki karanlık...'İltica ve Mülteci kavramları çağdaş dünya insanının çok da yabancısı olmadığı kavramlar. Nerdeyse her haber bülteninde, her söyleşi ve konferansta çeşitli nedenlerle karşımıza çıkan bu kelimeleri, insanın birey olarak dahil olmadığı sürece çok da kavrayamadığı açıktır.Kitabın yazarı işte bu kavramların izini sürmek amacıyla, gazetecilik mesleğinin dürtüsü ile kendini bir iltica sürecinin içine atarak, çağdaş demokrasinin kalelerinden biri olan İsveç'te bir mülteci kampında yaşamış, buradaki olayları-insanları gözlemlemiş ve bu gözlemlerinin sonucunu hem sosyolojik, hem de siyasi açıdan okurlara aktarmıştır.Çeşitli etnik kökenden insanların yaşadığı bir kampta gözlem yapan yazarın ortaya koyduğu doneler; demokrasi kavramını içselleştirmenin, özgürlüklerin son derece çeşitlendiği Avrupa coğrafyasında dahi ne kadar zor ve çetrefilli olduğunu göstermesi bakımından önemlidir.",232Dili: TürkçeYayınevi: Ozan Yayıncılık,,,Türkçe,9789944143073,
1,https://i.idefix.com/cache/500x400-0/originals/0001732168001-1.jpg,Kadın Otelci Olmanın Dayanılmaz Ağırlığı,Tijen Günyol,Gürer Yayınları,"18,9 TL",Kadın Otelci Olmanın Dayanılmaz Ağırlığı Kitap Açıklaması,"
Otelcilik zorlu bir iştir. Otelciliğin temel kuralı, koşulsuz -müşteri değil- misafir memnuniyetidir. Otelde kimse isteklerinize hayır demez, yaptıklarınızdan dolayı sizi yermez ve isteklerinize karşı çıkmaz. Her şeye “Peki efendim.” denir; en saçma isteklerinize bile. Bu nedenle talep arzu ve egolarınızı en iyi tatmin etme yerleri de otellerdir. Tijen Günyol yurt içinde ve dışında, otuz yıllık otelcilik hayatı boyunca kendi başından ve mesai arkadaşlarının başından geçen en trajikomik olayları sizlerle paylaşıyor. Altıncı kattan atlayıp havuzu tutturamayan turist, kafasında telsiz kırılan sapık patron, profiterol kazanına düşen stajyer, deve sırtında gidilen müşteri ziyareti, otelde kalan ağır yaralı askerler, yangın alarmını gizli kamera zanneden kadın... Bu kitapta ne ararsanız var. Aktif bir barınak gönüllüsü olan Tijen Günyol, bu kitabın bütün gelirini yaşlı ve sakat hayvanların bakımı için bağışlamıştır.
 
(Tanıtım bülteninden)
 
 
",,,2017,,9786052094020,
2,https://i.idefix.com/cache/500x400-0/originals/0000000543708-1.jpg,Gerçekler - Bir Emniyet Müdürünün Hatıraları,İsmail Hakkı Civil,İrfan Yayıncılık,"84,0 TL",Gerçekler - Bir Emniyet Müdürünün Hatıraları Kitap Açıklaması,"
",344,,2000,Türkçe,9789753711319,
3,https://i.idefix.com/cache/500x400-0/originals/0000000302588-1.jpg,Sokak Güzeldir-68'de Ne Oldu,Nadire Mater,Metis Yayıncılık,"86,8 TL",Sokak Güzeldir-68'de Ne Oldu Kitap Açıklaması,"
Kişisel anlatılar ile dönemin arkaplanına dair bilgileri bir araya getiren bu kitap 1968'in hakikate daha yakın bir resmini çezebilmek, hakikati tarihten geri kazanabilmek umuduyla yazıldı. Hiç kuşkusuz tek bir '68 yoktu, kitapta da herkes kendi '68'ini anlattı. Yine de diyebiliriz ki '68 kuşağı tutkulu ve başkaldıran bir kuşaktı. Evinden çok sokağı severdi, bir de devrimi ve arkadaşlarını. İnançları için ölümü göze almaktan çekinmeyen kişiler çıktı bu kuşağın içinden. Onların hikâyelerini bugün hatırlamamız bu yüzden önemli. Öte yandan hikâyelerin özgürleştirici oldukları kadar ketleyici, ezici de olabildiklerini unutmamak gerek. Efsane haline getirilmiş bir geçmişin, sonraki kuşakların sırtında ağır bir yük olduğunu da unutmamalıyız. Geçmişi yüceltmek, kolaylıkla bugüne boyun eğmenin bahanesine dönüşebilir.'68'de gerçekte ne olduğunu bilmek, neyin olmadığını da düşünebilmek için de önemli. Bugünden bakıldığında, '68'de olup bitenler, bize güç ve esin verdiği kadar, neyin olmadığını, neyin hayal edilemediğini, neyin yaşanmadığını da gösteriyor. Henüz ne kadar çok şeyin denenmemiş olduğunu, ufkumuzda bizi ne kadar çok başlangıcın beklediğini de gösteriyor. Bizler, yazar ve yayıncı, Sokak Güzeldir'in böyle bir umutla okunmasını dileriz.",404,,2009,Türkçe,9789753427234,
4,https://i.idefix.com/cache/500x400-0/originals/0000000482460-1.jpg,Yeryüzünde Birkaç Adım,Samiha Ayverdi,Kubbealtı Neşriyatı,"45,6 TL",Yeryüzünde Birkaç Adım Kitap Açıklaması,"
",331,,2001,Türkçe,9789757663706,
5,https://i.idefix.com/cache/500x400-0/originals/0001878010001-1.jpg,Yalnızca Aşk,Ayşe Usman,Yason Yayıncılık,"16,45 TL",Yalnızca Aşk Kitap Açıklaması,"
İstanbul, 1950'ler sonu 60'lar başı. Yakışıklı bir delikanlı, güzeller güzeli bir genç kız. Kader onları birbirine bağlamış. Bu şehir ortak aşklarıymış. İkisinin de gözleri, yürekleri başka çarparmış İstanbul deyince.
Genç kız yıllar yıllar sonra şimdi o yokusun başında, Zeyrek'te. Delikanlı ile el ele yürüdükleri o yokuşun... Ailesi ile oturduğu ahşap evi göremedi ama olsun, işte mahallesinde.
Buluşup Florya plajına gittikleri günler... Kubi (Kubilay), ona Kubi diye seslenirdi. Arkadaşları ile sahildeler. Hafta sonu. İkisi de çalıştığı için hafta sonu gezebiliyorlar. Plaja girdiklerinde gözler ona çevriliyor. Uzun sarı saçlarını at kuyruğu yapmış. Kısa kollu çiçekli elbisesi, belinde ince bir kemer... Gözünde kelebek kanatları şeklinde güneş gözlüğü, elinde hasır plaj çantası, bileğinde minik bir saat... Ayağında sandaletler... Gözler ona dönüyor ama o Kubi'den başkasını görmüyor. Ya Kubi? O, dünyada başkasını görmüyor.
 
(Tanıtım Bülteninden)
 
",56,"13,5 x 21",2020,Türkçe,9786257988445,
6,https://i.idefix.com/cache/500x400-0/originals/0000000704050-1.jpg,Imre Thököly'nin Katibi Janos Komaromi'nin Türkiye Günlükleri,Hüseyin Şevket Çağatay Çapraz,Gece Kitaplığı,"14,9 TL",Imre Thököly'nin Katibi Janos Komaromi'nin Türkiye Günlükleri Kitap Açıklaması,"
Janos Komáromi Macaristan'ın Habsburg hakimiyetinde birleştirilmesi için çasar kuvvetlerine katılan Erdelli bakan Mihály Teleki'nin kâtibi idi. Ancak Thököly'ye karşı 1690'da, Zernyest'te yapılan savaşta Teleki hayatını kaybetti, Komaromi ise Thököly'nin eline esir düştü. Komáromi bundan sonra ölümüne dek generale eşlik etti. Bağımsızlık mücadelesine katılan Macar idarecilerin Karlofça Antlaşması ile Habsburg İmparatorluğu egemenliğine giren Macaristan topraklarında yaşayamayacakları anlaşıldığında yurtsuzluğu dahi kendisiyle paylaştı.  János Komáromi Osmanlı İmparatorluğu'ndaki mültecilik hayatı boyunca tuttuğu günlüklerde uluslararası diplomasi, Bâb-ı Âli'deki elçilik faaliyetleri, imparatorluğun iç yapısı ve ekonomik durumu gibi çeşitli meselelere yer vermiştir. Bu bakımdan sunduğu bilgiler Osmanlı kaynaklarını tamamlayıcı niteliktedir.(Tanıtım Bülteninden)",144,,2016,Türkçe,9786051804323,
7,https://i.idefix.com/cache/500x400-0/originals/0002014324001-1.jpg,Ankara Bahçelievler Hatırası 2022, Kolektif ,Sapiens,"46,8 TL",Ankara Bahçelievler Hatırası 2022 Kitap Açıklaması,"
Görünmez ağlarla birbirine bağlı insanların kurduğu bir sosyal iletişim alanıdır mahalle.Birdenbire oluşmazve kolay kolay da kaybolmaz.Ne var ki sözde kalan anılarkanatlanıp uçabilir.Ancak iki kapak arasında kayda alınan satırları geleceğe bırakmak mümkün olur.Ankara Bahçelievler Hatırası, bir ilk kitap.Mahalle odaklı bir atölye çalışmasının sonucunda yazıldı ve kitap hâline geldi.Bir mahallenin sokaklarını, anılarını,acısı ve sevinciyle tüm sıcaklığını sergiledi.Haydi gelin,mekânı ve zamanı birleştiren sayfalarıbirlikte dolaşalım.
 
(Tanıtım Bülteninden)
 
",199,"13,5 x 19,5",2022,Türkçe,9786258270105,
8,https://i.idefix.com/cache/500x400-0/originals/0000000324682-1.jpg,İbn Fadlan Seyahatnamesi,Ramazan Şeşen,Yeditepe Yayınevi,"30,0 TL",İbn Fadlan Seyahatnamesi Kitap Açıklaması,"
Bu seyahatnâme X. yüzyıldaki Türklerin tarihi hakkında en canlı, en sağlam vesikalardandır. İbn Fadlan gibi kültürlü, mütecessis bir kişinin gözlemlerine dayanmaktadır. Veciz ve akıcı bir üslupla kaleme alınmıştır.Yazıldığı tarihten itibaren doğuda, daha sonra batıda çeşitli kişiler tarafından kaynak olarak kullanılmış, çok sayıda çalışmaya konu olmuş, çeşitli dillere çevrilmiş, filmlere konu olmuştur. İbn Fadlan elçilik için gittiği sırada uğradığı Türk kabilelerinin idaresi, dinleri, adetleri, hukukları hakkında çok değerli bilgiler vermiş, o kavimlerden olan kişilere sorular yöneltmiş, onların mantalitesini anlamaya çalışmıştır. Devrindeki Oğuzlar, Bulgarlar, Ruslar hakkında son derece önemli bilgiler vermiştir.  (Tanıtım Bülteninden)  
",,"13,5 x 21",2017,,9786054052226,Mustafa Karagüllüoğlu
9,https://i.idefix.com/cache/500x400-0/originals/0001919439001-1.jpg,Taşın Suyu,Seçkin Zengin,Klaros Yayınları,"36,0 TL",Taşın Suyu Kitap Açıklaması,"
Şiire balıklama atladım, diyebilirim. Bu atladığım yörenin kelimelerin, sonradan, yani şimdi beni yılan gibi sokacağını bilmeden. Şiir böyledir benim için biraz da; hevesine kapılmadığın şeyin heveskârı olmak. Yıllar, kanımca, zaman gibi, ölçüsü bulanık bir terazinin beyhudeliğinden başka bir anlam taşımıyor. Bu yüzden zamanı, yani rakamları belirterek değil, şiir masalımı anlatacağım.
Lise yıllarımda ev camiasında okur kitlemiz üç ablamdan oluşuyordu. Diğer iki ablamın okur kimliği bir yana, Tuğba ablamın kitaplığı, kitap setleri vardı. Hepimizin aşina olduğu ergenlik çağı… Tabi o zaman bunalım (Aslında bunalım yaşamım boyunca içimde zehirli bir sarmaşık gibi uzadı gitti, hâlâ uzuyor.) hat safhada... Bir-iki kitap alıp okumuştum, Tuğba ablamın kitaplığından. Çare arıyorum; kitaplar da bunalıma ilaç olma yetkisini yitirmişti. Yanlış hatırlamazsam Cezmi Ersöz’ün kitaplarıydı bunlar. İlgimi pek çekmediler, sonraki yıllarda çekecekti.
 
(Tanıtım Bülteninden)
 
",172,13 x 21,2021,Türkçe,9786257352246,
