,image,bookName,author,interpreter,publisher,price,title,text,pages,dimensons,publicationDate,language,isbn
0,https://i.idefix.com/cache/500x400-0/originals/0000000517310-1.jpg,Bilge Seyidoğlu Kitabı, Kolektif ,E. Gökçe Aksoy,Dergah Yayınları,"18,24 TL",Bilge Seyidoğlu Kitabı Kitap Açıklaması,"
",371,,2011,Türkçe,9789759952280
1,https://i.idefix.com/cache/500x400-0/originals/0001840323001-1.jpg,Bozkırın Hırçın Çocuğu Cevdet Selvi,Mustafa Metin,,Dorlion Yayınevi,"31,5 TL",Bozkırın Hırçın Çocuğu Cevdet Selvi Kitap Açıklaması,"
1960’lı yılların başı, bir öğle vakti üç beş arkadaşıyla kapı önü sohbeti ediyorlardı. Kızıltoprak’ın; dar, çamurlu sokaklarından, yer yer su birikintilerini aşarak okula giden bir kız çocuğu gördü. Mahallesinin çocuğuydu, babası yoktu; annesi, hali vakti iyi ailelerin evlerine temizlik işlerine gider, çocuklarını okutabilmek için dişini tırnağına takardı. Öğrenci kız, ayakkabıları ayağına büyük geldiğinden parmaklarının ucuna basarak yürüyor, ayakkabıları güçlükle sürüklüyordu. Bunu mahalledekilere hissettirmeden yapmak zorundaydı, yoksa o ayakkabıların temizlik işi karşılığında annesine verilmiş olduğunu konu komşu herkes anlardı. Büyük pabuçları sürüyerek yürüyen kız, Cevdet’in kafasında öyle bir resim çizmişti ki, ömrü boyunca hiç unutmadı. O; yoksulluğun, çaresizliğin resmiydi.Cevdet’in, yaşamında yarım asır sürecek toplumsal mücadele kararlılığı o gün başladı.Yoksulluk yenilmeliydi, çaresizlik kabul edilmemeliydi. Eskişehir Tayyare Fabrikasında başlayan çalışma hayatı, aynı zamanda sendikacı olmasına da kapı araladı. Yarım asır boyunca sendikacılıkta ve siyasette adı sıkça duyuldu.
Yazar, bu eserinde yarım asır boyunca sendikacılık ve siyaset alanında toplumsal mücadeleden kopmadan olayların içinde yer alan Cevdet’in, öz yaşamından yola çıkarak tarihsel zemin üzerinde insani hakikatle yüzleşmeyi okurlarına taşıyor. Eser; yaşanmış olaylar üzerine kurulu, tarihi gerçekleri açıklayan ve tarihe yardımcı olacak şekilde kaleme alınmış. Eserde; dürüstlük, içtenlik ve sorumluluk duygusunun ön plana çekilmesi, tarihsel süreç içinde yaşanmışlıkları daha da ilginç biçimde sunuyor. Gerçeğin sürükleyici etkisiyle duygu ve düşünceler içtenlikle yansıtılmakta.
Geçmişte yaşanmış olaylar, devirler ve Cevdet ile birlikte adı geçen kahramanların hayat hikayelerinin edebi ölçülerde yeniden sunumu söz konusu.
 
(Tanıtım Bülteninden)
 
",,"13,5 x 21",2019,Türkçe,9786052495094
2,https://i.idefix.com/cache/500x400-0/originals/0001744164001-1.jpg,Süleyman Askeri Bey,Nurettin Şimşek,,Altınordu,"52,5 TL",Süleyman Askeri Bey Kitap Açıklaması,"
Arka Kapak Yazısı (Tanıtım Bülteninden)
 
    Süleyman Askerî, vatanı için vatanından başka her şeyini isteyerek ve gülerek feda etmiş bir Osmanlı idi!...""Süleyman Nazif - Bağdat Valisi 
1911'de adını duyuran, 1914'de Harbiye Nezaretine bağlanan Teşkilat-ı Mahsusa, Osmanlı Devletini parçalamak ve yok etmek isteyen emperyalist devletlerin ve Türk-İslam düşmanlarının faaliyetlerini boşa çıkarmak için vatansever, idealist insanların kurduğu bir teşkilattır. Teşkilat-ı Mahsusa, İttihat ve Terakki'nin iktidardan düşmesiyle 1918'de feshedilmiştir. Ancak bu örgütün üyeleri davalarından vazgeçmemişlerdir. Anadolu'yu işgal eden istilacı güçlere karşı Müdafa-i Hukuk derneklerini kurmuşlar ve Kuvâ-i Milliye'nin oluşmasına öncülük etmişlerdir.
Devletin ve milletin menfaatlerini her şeyin üzerinde tutan ve hayatlarını bu uğurda feda etmekte bir an bile tereddüt etmeyen insanları bünyesinde barındıran Teşkilat-ı Mahsusa'nın ilk başkanı Süleyman Askerî'dir. Askeri eğitimini tamamladık sonra İttihat ve Terakki Cemiyeti içerisinde önemli görevler almaya başlayan Süleyman Askerî Bey, Makedonya'daki çete takiplerinde kendini göstermeye başlamış, ilerleyen yıllarda Kuşçubaşı Eşref ile birlikte Batı Trakya'da önemli faaliyetler yürütmüştür. II. Balkan Savaşı sonrasında Bulgarlar ile yapılan İstanbul Anlaşması öncesinde Garbi Trakya Hükümeti'nin kurulmasını sağlamıştır.
 
 
 
",,14 x 21,2018,,9786052028377
3,https://i.idefix.com/cache/500x400-0/originals/0000000348820-1.jpg,Mevlana,Fatıma Keskin,,Kastaş Yayınları,"21,0 TL",Mevlana Kitap Açıklaması,"
İnsanlığa karşı duyulan hoşgörü ve sevgiyi öğreten ""Ya olduğun gibigörün ya göründüğün gibi ol"" diyen Mevlana tasavvuf, aşk ve aşık düşünceleriyle…",238,,2010,Türkçe,9799752820776
4,https://i.idefix.com/cache/500x400-0/originals/0000000529019-1.jpg,Doğa Biliminin Öncüsü Demokritos,Solomon Lurye,Kesim Danışman,Etkin Yayınları,"24,0 TL",Doğa Biliminin Öncüsü Demokritos Kitap Açıklaması,"
""Demokritos bir taşın üstüne oturup açık bir papirüs dürüsünü dizlerinin üstünde tutardı; sağında ve solunda başka kitaplar da saçılmış olurdu; daha uzakta karınları deşilmiş bir hayvan yığını bulunurdu; kendisi kâh dizlerinin üstüne iyice eğilip hevesle yazar, kâh kendi kendine birşeyler mırıldanarak derin düşüncelere dalardı. Sonra birden ayağa fırlar, ileri geri yürür, hayvanların bağırsaklarını eline alır, inceler, sonra onları yerine koyup yeniden taşın üstüne otururdu."" ... ""Kader diye bir şey yoktur"" der Demokritos. ""İnsanlar kendi güçsüzlüklerini ve kararsızlıklarını haklı çıkarmak için kaderi kendileri uydurdular. Hiçbir şey öylesine laf olsun diye, anlamsız olmaz; her şey mantıklı ve zorunlu bir nedensellikle olur. Bizim kadere yüklediğimiz her şeyin belirli bir sebebi vardır.""(Tanıtım Bülteninden)",174,,2011,Türkçe,9789756391365
5,https://i.idefix.com/cache/500x400-0/originals/0001959959001-1.jpg,Bir Tıp Şehidi: Salahattin Mehmet Erk,Cem Kozlu,,Remzi Kitabevi,"25,2 TL",Bir Tıp Şehidi: Salahattin Mehmet Erk Kitap Açıklaması,"
Cumhuriyet’in ilk röntgen profesörü...Türkiye’nin ilk radyoloji profesörü Salâhattin Mehmet Erk’in yaşamı kısa bir ömre sığdırılan uzun bir mücadele hikayesidir. Bu mücadelenin izleri, görevi gereği sık sık ayrılmak zorunda kaldığı eşi Sabahat Hanım’a yazdığı mektuplara ve kartpostallara yansımaktadır. Trakya, Balkanlar ve kanlı çarpışmaların yaşandığı Filistin Cephesi’nden ve Birinci Dünya Savaşı sonrasında eğitim amacıyla gittiği Viyana ve Almanya’nın çeşitli kentlerinden gönderdiği mektuplar, dönemin Anadolu ve Avrupa’sına tanıklık etmektedir. Sık sık gönderdiği kartpostallardan da 20. yüzyıl başlarındaki Avrupa şehirlerinin görüntülerini izlemek mümkün.Sonraki mektupları ise tıp kongrelerine katıldığı Ankara’nın ve tedavi için bulunduğu Paris’in damgasını taşır. Profesör Salâhattin Mehmet Erk’in yazdığı mektup ve kartpostallardan derlenen bu kitapta, onun Sabahat Hanım’a olan aşkını, henüz emekleme dönemindeki radyolojiye tutkuyla bağlanışını ve yurt sevgisini bulacaksınız.
 
(Tanıtım Bülteninden)
 
",136,"14 x 21,5",2022,Türkçe,9789751420800
6,https://i.idefix.com/cache/500x400-0/originals/0000000520164-1.jpg,Türk Dostu Mozart,Boris Grigoryeviç Kremnev,Ali İmren,Etkin Yayınları,"39,0 TL",Türk Dostu Mozart Kitap Açıklaması,"
Siz Onları Hiç Böyle Tanımadınız... Mozart, müzik sanatında ulaşılmazlığın simgesidir; şiirde Shakespear'in olduğu gibi. Onun sanat evreninde belirişi, açıklanması olanaksız bir mucizedir. O, sanki bir uzaylı gibi dünyamıza inmiş ve insanlığa birbirinden güzel, derin, eşsiz yapıtlar armağan ederek aramızdan ayrılmıştı. Ne var ki, biz dünyalılar onu mutlu edememiş, daha acısı onu bu yolculuğa yoksul ve kimsesiz uğurlamıştık. Otuz beş yıllık kısacık yaşamında insanlığa 600'den fazla yapıt bırakan Mozart'ın, Türkler için ayrı bir önemi vardır. Mozart için de Türklerin. Türklere ilk kez sempatiyle bakan, ""Düşman Türk""ü değil, ""İnsan Türk""ü canlandıran ""Saraydan Kız Kaçırma"" operası ile Avrupa'da 18.Yüz-yılın sonlarına doğru moda olan Türk konulu operaların en güzelini, en ölümsüzünü o yaratmıştı. Mozart'ın Türk müziğinin ritmik, ezgisel ve tınısal özelliklerine duyduğu ilgi, sadece operayla sınırlı kalmadı. Dünyanın ""Türk Marşı"" diye adlandırdığı ünlü eser, Mozart'ın en sevilen eserleri arasındaki yerini bugün de korumaktadır. Çocuk yaşta beste yapmaya başlayan ve ölünceye kadar da hep ""çocuk"" ruhuyla yaptığı bestelerle çağlar boyu her dinleyenin gönlünü fetheden, fırtınalı ruhları sakinleştiren müziği ile insanlığa bitip tükenmeyen bir hazine bırakmış olan bu büyük dehaya ne çok şey borçluyuz. Siz Mozart'ı hiç böyle tanımadınız..(Tanıtım Bülteninden)",320,,2007,Türkçe,9789756391211
7,https://i.idefix.com/cache/500x400-0/originals/0000000529008-1.jpg,Yaşamın İçinden Puşkin,Veresayev V. V,Kesim Danışman,Etkin Yayınları,"32,0 TL",Yaşamın İçinden Puşkin Kitap Açıklaması,"
""Yazın Moskova sokaklarından birinde bir hanımefendi yürüyordu ve yanında şişman, hantal ve suskun bir çocuk vardı. Ağırkanlı çocuk o denli yavaş ve uyuşuk yürüyordu ki annesinin siniri bozuldu. Sabrı taşarak çocuğu bıraktı ve yoluna devam etti. Açık pencerelerden çocuğa bakanlar gülüyorlardı. Bu durum çocuğun onuruna dokundu. Öfkeli öfkeli: 'Ne var, ne sırıtıp duruyorsunuz!' diyerek yavaşça kalktı ve yürümeye başladı. Bu çocuk Saşa, Puşkin'di; geleceğin büyük şairi Aleksandr Sergeyeviç Puşkin.…Gerçek sevgiyi, şefkati ve özeni çocuğa dadısı Arina Rodionovna gösterirdi. Puşkin kadının ölümüne kadar ona sıkı sıkıya bağlı kaldı. Yedi yaşına doğru, şişman, sessiz ve hantal bir çocukken, konuşkan bir yaramaza dönüştü. Anne tarafından aldığı Afrikalı kanı artık daha da belirginleşmişti. Hareketleri hızlı, gözleri parlaktı ve onlardan adeta kıvılcımlar saçılıyordu. Karakteri coşkuluydu ve değişken bir ruh yapısına sahipti. Çocuk zeki ve afacandı. Bir gün Puşkin'lerin dostu emekli bakan, şair İvan İvanoviç Dimitriyev: 'Şuna bir bakın, gerçek bir Arap çocuğu.' dedi. Puşkin güldü ve Dimitriyev'in çopur yüzüne bakarak: 'En azından bu özelliğimle dikkat çekerim, ama çopur birisi olmam.' diye karşılık verdi.""(Tanıtım Bülteninden)",220,,2011,Türkçe,9789756391358
8,https://i.idefix.com/cache/500x400-0/originals/0001954475001-1.jpg,Yüreği Yüzünden Güzel: Tarık Akan,Mustafa Balbay,,Halk Kitabevi,"52,5 TL",Yüreği Yüzünden Güzel: Tarık Akan Kitap Açıklaması,"
“Onun yasını tutmak da güzel.”Acun Günay
“Amerika’da olsa,Oskarları toplardı.”Türkan Şoray
“Hayata aşık bir korkusuzdu.”Nur Sürer
“Hepimiz çok gençtik, en hızlı Tarık büyüdü.”Perihan Savaş
“Hep derdi vardı.”Şerif Sezer
“Filmde öyle bir ‘seni seviyorum’ dedi ki,gerçek sandım.”Hümeyra
“Değişerek, değiştirerek büyüdük.”Hale Soygazi
“Rol yapmadan oynar, o çok fazlaydı.”Safa Önal
“Uzun boylu, alçakgönüllü adam gitti,fakirleştim, çok yalnızım.”Rutkay Aziz
“1977 Ankara yürüyüşünü hiç bırakmadı,hep yürüdü.”Arif Keskiner
 
(Tanıtım Bülteninden)
 
",216,"13,5 x 21",2021,Türkçe,9786257468695
9,https://i.idefix.com/cache/500x400-0/originals/0001746667001-1.jpg,Osman Gazi, Kolektif ,Sevim Altıntaş,İlgi Kültür Sanat Yayınları,"17,5 TL",Osman Gazi Kitap Açıklaması,"
Arka Kapak Yazısı (Tanıtım Bülteninden) 
 
Osman Gazi… Dünyaya hükmeden Türk İmparatorluğunun kurucusu, efsanesi… Adının yeni yeni büyüyen devletle beraber anılması, şahsını ehemmiyetli bir rol model yapıyor. Yaşadığımız çağdan maziye seslendiğimizde ise karşımızda hep I. Osman’ın silueti beliriyor.
Onun rüyası, yarım asra yakın bir zamanda reel politiği değiştirdi. Arkasından gelenlere yol gösterdi ve Türk’ün ‘kızıl elma’sını yeniden hatırlattı. Osman Bey, üç kıtaya yayılacak imparatorluk için ölümsüz bir kahramandır. Mütevazı hayatı, ülküsü, üzerine uzun uzun cümleler kurulacak bir mirastır.
Çünkü Osman Gazi demek, Orta Asya’dan Balkanlara uzanan uzun bir mefkûre demektir…
 
 
Editör: Giray Atasagun
Kapak Tasarım: Yunus Karaaslan
 
 
 
",,"12,5 x 19,5",2018,,9786052022429
