,image,bookName,author,publisher,price,title,text,pages,dimensons,publicationDate,language,isbn,interpreter
0,https://i.idefix.com/cache/500x400-0/originals/0001918127001-1.jpg,Akif'ten Gençliğe Öyküler - 2,Siyami Boylu,Cağaloğlu Yayınevi,"26,1 TL",Akif'ten Gençliğe Öyküler - 2 Kitap Açıklaması,"
Mehmet Akif, Milletin malı olmuş, Millet Ruhuna kök salmıştır. Akif ’in ruhu dirilmiş ve genç nesle sinmiştir, görüyoruz ve Akif, toprağa verilirken henüz duvarlara tutuna tutuna gezen çocuklar olan  bizler bugün, bu yeni Akif’ler ordusu içinde ona sesleniyor ve diyoruz ki: “Boşuna yaşamadın, boşuna savaşmadın ve boşuna ölmedin.”Sezai KarakoçAkif, milletinin derdini kendisine dert edinen bir hisli yürektir. İçinden gelen sesi gür bir seda ile haykıran gayretli bir mücahit, davasını hiçbir dünya nimetine değişmeyen sarsılmaz bir irade, insanlığın çilesini damarlarında gezdiren bir dava adamıdır. Onun şiirlerini bir araya getirdiği “Safahat”ı ise sadece milletimiz için değil, tüm insanlık için çok kıymetli mesajlar içeren adeta bir başyapıttır. Bu kıymetli eserin gelecek nesillerimizce anlaşılması, idrak edilmesi en büyük temennimizdir.Akif’ten Gençliğe Öyküler, işte bu endişenin ürünüdür. Safahat’ta yer alan şiirleri daha iyi anlaşılması adına nesre çevirdiğimiz ve sözlükle zenginleştirdiğimiz bu Akif’ten Gençliğe Öyküler II çalışmamız vesilesi ile nihai gayemiz, milletimizin hislerine tercüman olacak, ıstıraplarını terennüm edecek, bize geniş ufuklar kazandıracak, Münevver milletimizin çocuklarının bakışlarını ayaklarının ucundan gökyüzüne çevirecek yeni Akiflerin yetişmesine öncülük etmektir ruhumuzun yeniden dirilişine ışık tutması temennisiyle muhabbetli okumalar diliyoruz.Gayret bizden, Tevfik Allah’tandır.
 
(Tanıtım Bülteninden)
 
",136,"13 x 19,5",2021,Türkçe,9786059502481,
1,https://i.idefix.com/cache/500x400-0/originals/0001987156001-1.jpg,Klasik Türk Edebiyatında Öteki, Kolektif ,Çizgi Kitabevi,"54,75 TL",Klasik Türk Edebiyatında Öteki Kitap Açıklaması,"
Toplumsal düzlemin kaotik ve paradoksal bazı boyutları vardır. Elbette bu boyutlar hiçbir bilimsel çalışmada göz ardı edilemez. Bir kavramın ontolojik çerçevesinin, içinden çıkmış olduğu toplum ile ait olduğu zaman ve mekânla da örtüşmeyen tarafları yanında bazı istisnaları da olabilir. Bazen kavram'ın kendisinin bazen de içine düşülen yanlış anakronik yaklaşımın toplumsal gerçeklikle örtüşmediği görülebilir. Bu örtüşmez yapının izlerine yapılan bu çalışmada da rastlamak mümkündür. Hatta öteki gibi felsefe, sosyoloji, edebiyat gibi temel bilimlerin ilgi alanına giren çok boyutlu bir kavramın karmaşıklığı bu çalışma boyunca devam etmiştir. Bunda etkili olan sebeplerden biri de toplumsal kutuplaşma noktalarıyla toplumun yüzleşmek istememesidir. Haliyle bu çalışmaya öteki ile ilgili birçok kanaatin son derece keskin olduğu şeklinde bir eleştiri yapılabilir. Düşman ile ben/biz arasında yabancı'msı bir pozisyon almaya çalışan öteki, belki de bu yüzden keskinliği kabul etmeyen bir yapıya bürünür. Dolayısıyla öteki aslında hiç de istemediği toplumsal kutuplaşma ile karşı karşıya kalır. Bütün bu zorlukların yanında Dîvân şiirinin metaforik aşkı etrafında şekillenen örtük yapısı, bu çalışmanın daha da içinden çıkılmaz bir hâl almasına sebep olur. Bütün bunlar dikkate alındığında öteki, ben'in yanı başında dururken esasında ontolojik, hukuki, siyasal, toplumsal, tasavvufi ve edebi açılardan sürdürülebilecek büyük bir tartışmanın da merkezinde durur. 
 
(Tanıtım Bülteninden)
 
",448,"13,5 x 21,5",2022,Türkçe,9786051968094,
2,https://i.idefix.com/cache/500x400-0/originals/0001923096001-1.jpg,Maria Puder Olmak,Burçin Orhon,Destek Yayınları,"22,05 TL",Maria Puder Olmak Kitap Açıklaması,"
""Hiçbir kadın, ihtiras halindeki bir erkek kadar âciz ve gülünç olamaz.""Sabahattin Ali'nin kült eseri Kürk Mantolu Madonna romanının baş kahramanıdır Maria Puder.Hayat kadar canlı, gerçek ve güçlü...Almanya'ya çalışmak için giden Raif'in karşısına çıktıktan sonra bir daha hiçbir şeyin eskisi gibi yaşanmasını mümkün kılmayan Maria Puder...Yanlış zamanda doğmuş kuvvetli bir kişilik. Acınmak ya da kendisine merhamet edilmesi ona göre çok büyük bir zayıflık... Acılı geçmişini kendine bahane ederek hayatının kalitesinden katiyen çalmayan Maria Puder, tek sözüyle dünyaları önüne serebilecek erkeklerle çevrili bir yaşam sürmesine rağmen her zaman kendi ayaklarının üzerinde durmayı tercih ediyor. Başkasına minnet duymak, ağır bir borç, ağır bir yük onun açısından.Üstelik hiçbir şeyin daha azına razı değil Maria Puder.Aşktan daha az bir hisle ilişki yaşamayı kesinlikle reddediyor. Aşksız bir ömür yaşamak, aşk gibi görünen yalancı ilişkilerin içinde savrulmaktan çok daha onurlu...Maria Puder, kim olduğunuza ne istemediğinizden emin olarak karar verebileceğinizi öğreten çok güçlü bir karakter.Onunla yeniden tanışmaya ne dersiniz?
 
(Tanıtım Bülteninden)
 
",104,"11,5 x 18,5",2021,Türkçe,9786254412615,
3,https://i.idefix.com/cache/500x400-0/originals/0001791603001-1.jpg,Cahan ile Abdullah Hikayesi Üzerine Bir Araştırma,M. Abdulbasit Sezer,Gece Akademi,"59,0 TL",Cahan ile Abdullah Hikayesi Üzerine Bir Araştırma Kitap Açıklaması,"
Halkbilimi araştırmaları, bir ulusun tarihini, kültürel ve estetik değerlerini gelecek kuşaklara aktarmanın en etkili yollarından biridir. Bu tarz araştırmalar aynı zamanda bir ülkenin sanatsal değerlerini ulusal ve evrensel düzeyde tanıtmanın ve başka kültürlerle karşılaştırmanın yollarını da açar. Türk halk kültürü geleneğinin zenginlik ögeleri olarak halk hikâyeleri, uzun yıllar Anadolu insanının edebi ihtiyaçlarını karşılamış, oluştukları dönemin tarihi olaylarını, kültürel kodlarını âşıkların gelenek içerisinden beslenen anlatımları ile günümüze kadar taşımıştır. Cahan ile Abdullah hikâyesi, Azerbaycan ve Doğu Anadolu sahasının karakteristik özelliklerini taşıyan ve Dede Kasım tarafından tasnif edilen bir anlatıdır. Bir aşk hikayesi olan Cahan ile Abdullah, epizotları ve motifleri bakımından klasik halk hikayelerimiz arasında önemli bir yere sahiptir.
 
(Tanıtım Bülteninden)
 
",,16 x 24,2018,,9786052886441,
4,https://i.idefix.com/cache/500x400-0/originals/0000000439020-1.jpg,Hatıra - Roman İlişkisi ve Münevver Ayaşlı Romanları,Bahriye Çeri,Doğu Kitabevi,"16,85 TL",Hatıra - Roman İlişkisi ve Münevver Ayaşlı Romanları Kitap Açıklaması,"
Elinizdeki bu çalışma Münevver Ayaşlı'nın ""nehir roman"" denilen ve birbirinin devamı olarak kaleme alınmış, Pertev Bey'in Üç Kızı, Pertev Bey'in İki Kızı ve Pertev Bey'in Torunları adlı romanları üzerine bir incelemedir. Münevver Ayaşlı'nın bu romanlarında O'nun kendi hikâyesi, yani yaşamındaki tarih, hatırlama, kelimelerin gücüyle zaman içinde yapılan bir seyahat görülmektedir.Romanlarda Osmanlı toplumunun yıkılışı dile gelir.Öte yandan yazar, belki de bu yıkılıştan da çok kendi yıkıntısını dile getirmektedir.Çünkü O, bu yeni zamanda daima bir şeylereden yoksun kalandır.",94,,,Türkçe,9786055296230,
5,https://i.idefix.com/cache/500x400-0/originals/0001698106001-1.jpg,On Altıncı Yüzyılın Tanıklarından Cuşi ve Divanı,Berat Açıl,Atlas Kitap,"42,6 TL",On Altıncı Yüzyılın Tanıklarından Cuşi ve Divanı Kitap Açıklaması,"
On altıncı yüzyıl Osmanlı devletinin imparatorluk olarak kendini iyi-ce kabul ettirdiği bir dönem olarak kayıtlara geçmiştir. Bu yüzyıl aynı zamanda imparatorluğun siyasî, iktisadî, askerî ve kültürel açıdan en güçlü yüzyılı kabul edilmektedir. Özellikle Kanuni Sultan Süleyman saltanatı, edebî açıdan da yetkin ürünlerin ortaya çıktığı, Osmanlı edebiyatı mefhumunun iyice kabul gördüğü bir dönemdir. Bu dönem-de kültürel ve edebî faaliyet ve üretim imparatorluğun neredeyse her tarafına yayılmış durumdadır. Bu bakımdan Rumeli özellikle zikre-dilmeye değerdir.
Bu itibarla denebilir ki Osmanlı edebiyatına rengini veren unsurlardan biri de Rumeli memleketlerinde yetişen şairlerin meydana getirdikleri edebî eserlerdir. Kaynaklarda hakkında neredeyse hiçbir bilgi bulun-mayan Cûşî de Rumelili şairlerden biridir. Cûşî; Hanefilik, Kızılbaşlık, Rafızilik gibi Kanuni Sultan Süleyman döneminin önemli siyasi ve fıkhî meselelerini de şiirlerinde yansıtmış bir şair olarak öne çıkmak-tadır. Cûşî Dîvânı, edebî yönünün yanı sıra dönemini yansıtıcı bilgiler içermesi bakımından da dikkatle incelenmeyi gerektiren bir eserdir..
(Tanıtım Bülteninden)
",,16x24 İlk Baskı,2017,,9786059689038,
6,https://i.idefix.com/cache/500x400-0/originals/0001875547001-1.jpg,Geç Dönem Çağatay Türkçesi ile Yazılmış Perizad - Senuber Hikayesi,Aslı Zengin,Gece Kitaplığı,"26,5 TL",Geç Dönem Çağatay Türkçesi ile Yazılmış Perizad - Senuber Hikayesi Kitap Açıklaması,"
                                Geç Dönem Çağatay Türkçesi ile Yazılmış Perizad-Senuber Hikayesi
                            ",194,"13,5 x 21",2020,Türkçe,9786257046091,
7,https://i.idefix.com/cache/500x400-0/originals/0000000125060-1.jpg,Eleştiri Anlamı ve İşlevi,A. Arnold,İz Yayıncılık,"44,8 TL",Eleştiri Anlamı ve İşlevi Kitap Açıklaması,"
Çağımızdaki gibi insanların bilgelikle bilgiyi, bilgi ile malûmatı, mümkün ile zorunlu, geçici ile kalıcı olanı birbirine karıştırdığı ve hayatın meselelerini mühendisliğin tabirleriyle çözmeye kalkıştığı bir zamanda dünya, tarihin kaydetmediği yeni bir darkafalılık ve bağnazlık tipine sahne olmaktadır.Bu, mekanla değil zamanla ilgili bir taşralılıktır; çünki onlar için tarih, zamanlarını tamamlayıp kullanımdan kaldırılmış insani tekniklerin bir çetelesinden ibarettir; çünki onlar için dünya, içinde ölülerin hiçbir payının bulunmadığı, sadece yaşayanların mülküdür. Bu tür taşralılığın arz ettiği tehlike hepimizin, yeryüzündeki bütün halkların, hep birlikte taşralı olabileceğidir; ve taşralı olmakla yetinmeyenler sadece birer münzevi olabilirler.Eğer bu tür taşralılık tahammül anlamında, daha büyük bir hoşgörüye yol açmış olsaydı, bunun için söylenecek daha fazla şey olabilirdi; fakat bu öyle görünüyor ki ayırt edici bir dogma yahut standardı muhafaza etmemiz gereken meselelerde bizim kayıtsız kalmamıza; mahallî ya da kişisel tercihe bırakılabilecek meselelerde ise hoşgörüsüz olmamıza meydan verecektir muhtemelen.Eleştiri böyle bir zamanda sesini her zamankinden daha gür ve yüksek perdeden çıkarmalıdır. ...",212,,2002,Türkçe,9789753555135,
8,https://i.idefix.com/cache/500x400-0/originals/0001758097001-1.jpg,Araf'taki Edebiyat,Şahbender Çoraklı,Kriter,"71,4 TL",Araf'taki Edebiyat Kitap Açıklaması,"
Günümüz Türk Diaspora yazarları her ne kadar global sorunları işliyor olsalar da, ne Alman ne de Türk Edebiyatı içinde yer bulamamakta... Bir taraftan Almanlara, Almanya'ya yabancı, diğer taraftan Türkiye’de tanınmadıkları ve dolayısıyla Türk Edebiyatından sayılmadıkları için yine yabancı olarak değerlendirilmektedirler. Araf'taki Edebiyat Kitabında, böyle bir edebiyatın mensuplarının bir kısmını ve kimi eserlerinden örnekleri bulacaksınız.
 
 
(Tanıtım Bülteninden)
 
",,"13,5 x 21",2018,,9786052228319,
9,https://i.idefix.com/cache/500x400-0/originals/0001965368001-1.jpg,İncelikler Tarihi - Gülten Akın Şiiri, Kolektif ,Yapı Kredi Yayınları,"22,8 TL",İncelikler Tarihi - Gülten Akın Şiiri Kitap Açıklaması,"
Gülten Akın şiiri üstüne incelemeler İncelikler Tarihi
21 yazarın katkısıyla ortaya çıkan İncelikler Tarihi, ortak bir Gülten Akın kitabı. Kitabı hazırlayan şairler Asuman Susam’la Duygu Kankaytsın’ın üç bölümde topladığı yazılarda Gülten Akın şiiri tüm yönleriyle ele alınıyor.
“Gülten Akın’da Şair Oluş” başlıklı ilk bölümde Necmiye Alpay, Saliha Paker, Mahmut Temizyürek, Sevilay Çelenk, Olcay Akyıldız ve Metin Celâl kişiliği ve şiirimizdeki yeri çerçevesinde şaire yaklaşıyorlar. “Gülten Akın’ı Okumak” başlıklı ikinci bölümde Cevat Çapan, Haydar Ergülen, Roman Karavadi, Ömer Erdem, Semih Çelenk, Pelin Özer ve İnanç Avadit şairle etkileşimlerini anlatıyorlar. “Gülten Akın Şiirinin Yüzleri” başlıklı üçüncü bölümdeyse Betül Mutlu, Hüseyin Köse, Yusuf Alper, Emel Kaya, Hayri K. Yetik, Ali Özgür Özkarcı, Didem Gülçin Erdem ve Ruken Alp estetiğin ve eleştirinin kavramsal, yöntemsel bilgisinin işletildiği bir yerden Gülten Akın şiirine bakıyorlar.
İncelikler Tarihi - Gülten Akın Şiiri modern şiir tarihimizde kadının bireysel-toplumsal duruşunu gösterme ve özellikle “şair oluş” ve “kadın oluş” imgelerinin katmanlarını birlikte açma amacını da taşıyor.
 
(Tanıtım Bülteninden)
 
",280,"13,5 x 21",2022,Türkçe,9789750852817,
