,image,bookName,author,publisher,price,title,text,pages,dimensons,publicationDate,language,isbn,interpreter
0,https://i.idefix.com/cache/500x400-0/originals/0001726095001-1.jpg,Kamçılanma Mesafesi,Zeynep Uzunbay,Manos,"9,15 TL",Kamçılanma Mesafesi Kitap Açıklaması,"
""Adım diye demiyorum, bağırsan bağırmaya yakışır fısıldasan fısıldamaya. İsmimi taşıyan cisim, dertliye çare, bunluya neşedir. Gizli derdine derman arayan, “Bir arkadaşım var, adı Ayşe,” diye girer lafa. Bizim muhabbet kuşu bile, her şeyden önce “Ayşe” demeyi öğrendi. Gelip geçtiğim şu dünyada, bir devletimiz sevmedi beni.""
Özgün bir dilin duyarlığıyla kaleme aldığı “Kamçılanma Mesafesi” adlı ilk öykü kitabında Zeynep Uzunbay hayatın eril yüzünü sorguluyor. Öykülerdeki kadınları belki yıllardır tanıyor gibiyiz, belki daha önce benzerlerine rastlamamışız. Onların sözcükleriyle kurgulanmış öyküler, bizi dünyalarına buyur ediyor.
Öykülerin kahraman kadınları yıkıldığı ya da acı çektiği yerde kalıp kaderine razı olmuyor. Doğrulup üzerine gitmek, hesap sormak ve payını almak için harekete geçiyor. Bazen bir isyan hissi, bazen güleç bir derinlikle karşımıza çıkıyorlar.
Şiir, roman ve inceleme kitapları bulunan Zeynep Uzunbay, “Kamçılanma Mesafesi”yle yeni kapılar aralıyor. 
 
(Tanıtım Bülteninden)
 
 
",,"11,5 x 19,5",2017,,9786056769832,
1,https://i.idefix.com/cache/500x400-0/originals/0000000714383-1.jpg,Gizem,Kenan Aden,Seyyah Kitap,"28,0 TL",Gizem Kitap Açıklaması,"
Aşk; sınır, ülke, millet tanımayan derin bir yolculuk. Amerika'da yaşayan Kenan Aden'in kaleminden, okyanus ötesinde, dünyanın en güzel şehirlerinden biri olan San Francisco'da yaşanan bir aşkın öyküsü. Üniversiteyi Amerika'da okuyan Gizem'in; aşkı, insanı, dostluğu, Doğu'yu ve Batı'yı keşfetme öyküsü, sizi hem farklı bir coğrafyaya götürecek, hem de içsel bir yolculuğa çıkaracak.  (Tanıtım Bülteninden)",92,,2016,Türkçe,9786059675055,
2,https://i.idefix.com/cache/500x400-0/originals/0000000669067-1.jpg,Özlemek Güzel,Mehmet Deveci,Bengisu Yayınları,"36,5 TL",Özlemek Güzel Kitap Açıklaması,"
Yazmak istediğim birkaç şey avardı aklımda. Ama bu güzel ortamda gözümü ilerideki köşeye diktim ve tanısam da tanımasamda  oraya ilk kim gelirse o kişiyi yazamaya karar verdim. Yazımın konusu o olacaktı yani. Görüntüsüne,yürüyüşüne,giyim tarzına,bakışlarına anlamlar yükleyip, kelimelermin dünasına misafir edecektim. Niyetim gayet güzel ağırlamaktı. En naif cümleler ile süsleyeceğim  dünyada kısa bir yürüyüş yapacak,parağraftan parağrafa koşacak, satır başlkarında dinleyip her noktanın ardından büyük harf ile yeniden başlayacaktık. Hayatın sıkıcılığından,tekdüzeliğinden bir yaının içine konuk olacak ve farkında olmadan da olsa farklı alemlerde  gezecekti. Bir insan olması şart değildi konuğumuzun. Bir kedi,köpek yada rüzgarın içini şişirdiği başıboş  bir poşet bile olabilirdi bu. Şans kime gülerse artı.Tam karşımdaydı,iki adımlık mesafede. Gözlerinden kalkıp gidişlerimin farkında değildi,kendinden habersiz kuruduğum düşlerimin… Benim sadece onu dinlediğimi zannediyordu.Önümüzden koşar adım akıyordu şehir. Şehir konuşuyor biz susuyorduk.  Şehir bağırıp çağırmasına rağmen sesini duyuramıyor, biz ise konuşmadan anlaşıyorduk. Yenilmiş bir gürültü gibi uğulduyordu araba kornaları,kalabalık caddeler,akıp giden onca yüzler…Biz kazanmış bir şafak gibi yeni doğuyorduk sanki. Yeni bir sabahın sessizliğini yaşıyorduk.Bu kitapta hayatın içinden öyküler var. Hacı amcalar,dilenci kzlar,söylenmemiş sevdalar,ağaçlar, duvarları eskimiş evler,toprak yollar,gökyüzü ve bulutlar var. Ayatın içnden kareler var… Rastgele çevrilmiş radyo frekansından  karşımıza çıkan sesler,yutkunmalar,içlenmeler,hüzünler,yürek sızıları var. Yüzüne aniden oturan bir tebessüm, sesinizi size geri veren yankılı hikayeler var.(Tanıtım Bülteninden)",168,,2015,Türkçe,9786059853774,Davut Güler
3,https://i.idefix.com/cache/500x400-0/originals/0000000611113-1.jpg,Bu Benim Aşk Hikayem,Gizem Denizci,Hiç Yayınları,"14,44 TL",Bu Benim Aşk Hikayem Kitap Açıklaması,"
Dizi ve sinema filmlerinden tanıdığımız Oyuncu-Yazar Gizem DENİZCİ'nin ilk öykü kitabı, Sinematografik bir anlatım ile genç bir kızın masum ve bir o kadarda şiddetli aşk hikâyesini okuyucuları ile buluşturuyor.Gizem Denizci, filmlere konu olacak genç bir kızın aşkını ve onda yarattığı izleri, sürükleyici bir dil ve sinematografik anlatımla… Bir solukta okunacak, büyülü bir aşk masalı içine bizi götürüyor.""…Onu ilk kez geçen hafta görmüştüm.  Sahnedeydi ve şarkı söylüyordu.  Şahane bir sesi vardı.  Sanki ses dalgalarının etrafı pamuklarla bezenmiş gibi, kulaklarıma değdiğinde bana yumuşak bir tazelik hissi veriyordu. Sabaha kadar söylese, sıkılmadan dinleyebilirdim. Ben öylece onu seyrederken beni fark etti…""(Tanıtım Bülteninden)",128,,2014,Türkçe,9789759296087,
4,https://i.idefix.com/cache/500x400-0/originals/0000000405873-1.jpg,Tekrarı Olmayan Öyküler,Tülin Dursun,Yitik Ülke Yayınları,"49,0 TL",Tekrarı Olmayan Öyküler Kitap Açıklaması,"
Tülin Dursun'un güçlü kaleminden yaşanmış, sarsıcı, gerçek öyküler... Türkiye'den insan manzaraları ve hiçbir yerde rastlayamayacağınız özgün hikâyeler bu kitapta bir araya geldi...Çocukluk yıllarımızda bize anlatılan masalların etkisinde kalmayan hiç kimse yoktur. Masalların içindeki iyi kalpli kahramanları kendimizin yerine koyarak, arkadaşlarımızla olan ilişkilerimizi belirlemişizdir. Onların gerçek olmadıklarını anladığımız zaman kendi masallarımızı uydurmaya başlamış ve ilk yalanlarımızı kendimizi savunma amaçlı söylemişizdir. Masalları öyküye dönüştürürken çıktığımız yolculuklarda inmek zorunda olduğumuz duraklar geleceğimizi belirlediğinde geride iyi-kötü anılar, pişmanlıklar, kırgınlıklar kalır. Bazı öyküler vardır ki dinlediğinizde veya okuduğunuzda kahraman siz olursunuz. En güzel aşkları yaşar, bütün ihanetleri, yokluğu-varlığı siz çekersiniz. İsyan eden de, boyun eğen de sizsinizdir. Öykülerin hep iyi bitmesini isteriz. Tıpkı masallardaki gibi ""Onlar ermiş muradına, biz çıkalım kerevetine"" veya ""Gökten üç elma düşmüş, kimin ne muradı varsa onun başına"" dileklerimiz gibi biten. Yaşam öykülerinde herkes kerevete çıkıp başına düşen elmanın tadına bakmıştır. Elma tatlı veya zehirlidir ama mutlaka tadına bakılmıştır.Haydi! Hep beraber elmaların tadına bakalım mı?",159,,2012,Türkçe,9789944362399,
5,https://i.idefix.com/cache/500x400-0/originals/0000000709600-1.jpg,İnsansız Konağın İkonu,Ali Teoman,Yapı Kredi Yayınları,"15,6 TL",İnsansız Konağın İkonu Kitap Açıklaması,"
Ali Teoman’ın ikinci kitabı “İnsansız Konağın İkonu” 1992 Milliyet Öykü Ödülünü almış ve 1993’te yayımlanmıştı. Kitap 23 yıl sonra Yapı Kredi Yayınları tarafından okurlarıyla buluşuyor.
Köhne mekânlar, yanık saraylar, metruk binalar, başka ülkelere göçenlerin geride bıraktığı antikalar, parçalanmış hayatlar, öyküden öyküye dolaşan kederli kediler, Ali Teoman’ın bin bir suratlı kişilerle dolu evreninde büyüleyici bir masalın kahramanlarına dönüşüyor.
“Gizli Kalmış Bir İstanbul Masalı” ile başlayıp “Gecenin Atları” romanıyla sona eren Ali Teoman kurmacasının bütün özelliklerini taşıyan “İnsansız Konağın İkonu” bugün özlemi duyulan eski İstanbul’un kıyıya vurmuş insanlarını Türkçenin unutulmuş lezzetleriyle dile getiriyor.
 
(Tanıtım Bülteninden)
 
 
",,,2016,Türkçe,9789750837302,Murat Yalçın
6,https://i.idefix.com/cache/500x400-0/originals/0000000348814-1.jpg,Zaman Kurucusu,Mehmet Erikli,Yitik Ülke Yayınları,"14,0 TL",Zaman Kurucusu Kitap Açıklaması,"
Biraz önce yüzünü düşürdüğü masasından, ne yaptığını bilmeyen bir insanın tavrıyla doğrularak, çalışma arkadaşlarının şaşkın bakışları arasında kendisini dışarıya atıverdi. Tam dışarıya çıkmıştı ki karşısındaki büyük kalabalık onu ürküttü. O yine de cadde üzerinde sadece birkaç saniye içerisinde yerine başka yüzlerin geldiği değişkenliğin içine katılarak, amaçsızca adımlar tüketti. Fakat nereye gittiğini bilmiyordu. Sabahki hayali hâlâ beyninin içerisinde taptaze duruyordu. Bu hayalinden kurtulmak istese de kurtulamıyor, sanki kurtulmak isteyince bu kötü hayal onu daha da sararak etkisi altına alıyordu. Bir an kalbi sıkıştı ve nefes alamadı. Yutkunmaya çalıştıysa da onu da başaramadı. Vücudunun tekrar kasılmaya başladığını hissetti. Birkaç adım atmaya kalmadan caddenin en ıslak tarafındaki su birikintisine doğru hamle yaparak, kendisini birkaç damla suyun içine bırakıverdi. Hemen çevreden birkaç kişi koştu ona doğru. Gözlerini açtığında daha çevresindekileri görmeden keskin alkol kokusunun genzini yaktığını hissetti ve yutkundu acı acı… Sonra etrafını süzdü uzun uzun. Evindeydi…",70,,2010,Türkçe,9789944362177,
7,https://i.idefix.com/cache/500x400-0/originals/0000000701702-1.jpg,Ateş Küskünleri,Ali Özenç Çağlar,Artshop Yayıncılık,"6,2 TL",Ateş Küskünleri Kitap Açıklaması,"
Adam, kol ve bacağını askılardan kurtararak, ""Yeteeeeer, hiçbir şey görmek, işitmek istemiyorum artııııık!"" diye bağırdı. Hemşi-reler kucaklayıp yatırdılar. Alnı, ter içindeydi. Derhal nöbetçi dok-tora haber verildi. Madımak, beyninin bir köşesinde yankılanıyordu ve hâlâ uzaklardan ülkenin kadın Başbakanı radyolardan şu anonsu yapıyordu: ""Çok şükür (Sivas'da çıkan) olaylarda, dışarıdaki halkımız bir zarar görmemiştir."" Dava sürecini BBC Türkçe, yayınlarında: ""Bu olayın arkasındaki örgütlerin bulunamamış olması ve hakkında gerekli aramanın yapılmamış oluşu bizi olaydan sonra yakalanan insanlarla sınırlı bir davanın peşinde bıraktı. Bugün bu olayı yaratan örgütler bulunabilmiş değildir. Olayı yönlendirenler, tahrik edenler bulunmuş değildir. Henüz tamamlanmamış bir dava ile karşı karşıyayız"" diyor. Bir başka gazete, ""Yüreklerimiz Yangın Yeri"" adlı araştırma kitabının yazarı Orhan T. ise, ""Sivas katliamı, Cumhuriyete, demokrasiye, özgür düşünceye ve en önemlisi insanın yaşama hakkına bir saldırıydı"" şeklinde veriyor olayı. Madımak, ardından Solingen, yine yürekleri dağlayan derin bir acı olarak tarihimizde kara bir leke olarak kalacaktı...(Tanıtım Bülteninden)",80,,2016,Türkçe,9786059668323,Vedat Akdamar
8,https://i.idefix.com/cache/500x400-0/originals/0001766416001-1.jpg,Kızıl Zambak,Ayşe Müzeyyen Taşcı,Dünya Bizim Kitaplığı,"16,5 TL",Kızıl Zambak Kitap Açıklaması,"
II. Dünya Savaşı’ndan sonraki en kanlı savaşı Bosna Savaşı’dır.
Yakın tarihte yaşanan bu korkunç savaşta, 35 bini çocuk olmak üzere 350 binden fazla Müslüman Boşnak katledilmiş, 50 bin kadın sistematik tecavüze uğramıştır.
1992 yılında bağımsızlığını kazanan Bosna Harsek’te Cumhurbaşkanı Aliya İzzetbegoviç’in çabaları ve Birleşmiş Milletler’e yaptığı çağrılar karşılıksız bırakılmış Avrupa’nın orta yerinde tüm dünyanın gözleri önünde başlayan savaş bir soykırıma dönüşmüştür.
Dünyanın 4. büyük ordusuna sahip olan Sırplar ve faşist Çentiklerin tamamen silahsız olan Müslüman Boşnaklara saldırılması, küresel barış örgütlerini rahatsız etmediği gibi tüm dünya tarafından da görmezden gelinmiştir.
Sırp generallerin uluslararası medya aracılığı ile “En fazla 3 ay sonra Bosna Hersek’te tek bir Müslüman kalmayacak” tehdidine rağmen direniş, Boşnakların büyük gayret ve kahramanlığı, Allah C.C inayeti ile 5 yıl sürmüş ve BM’nin ihaneti sonucu Dayton Antlaşması ile masada bırakılmıştır.
Osmanlı’nın sancaktarlığını yapmış, medeniyet değerlerimizin hayat bulduğu Balkanlar ve Bosna Hersek’te yaşanan savaşı –şahitliklerimizle beraber- gerçek yaşam öyküleri ile okuyucuya sunmaya çalıştık.
Hülasa bu kitapta Bosna Hersek’in kadim geçmişi, Müslüman Boşnakların verdiği İslami mücadele, lideri Aliya ve savaşın soğuk yüzü gerçek hikâyeler üzerinden kaleme alınmıştır.
 
(Tanıtım Bülteninden)
 
 
",,"14,5 x 21,5",2018,,9786052480267,
9,https://i.idefix.com/cache/500x400-0/originals/0000000346750-1.jpg,Üvey,Mehmet Bilal,Everest Yayınları,"20,2 TL",Üvey Kitap Açıklaması,"
Mehmet Bilal, Ucüncü Tekil Şahıs romanıyla şaşırtmıştı. Çıplaklığıyla, içtenliğiyle...Adresinde Bulunamadı romanı yine erkeklere âşık olan erkeklerin tekinsiz yolculuğunda konaklıyordu. Bu iki romanıyla edebiyatımızda sadece kendine has bir yer edinen yazarımız, bu kez öyküleriyle çıkıyor karşımıza.Üvey'deki öyküler sert, tertemiz, kopkoyu.Birer sustalı gibi açılıp kapanıyorlar.Erkeğin uğultulu yalnızlığı üstüne unutulmaz öyküler.""(...) Bu kadar öfkeli, tehlikeli, gözü dönmüş olabilir miyim? Biriyle evine ya da evime giderken yolda bir an durup itiraf edebilir miyim? Su yeryüzünde kime bir hayat vaat edebilirim? Üç beş yıllık özgürlüğümden bundan sonraki hayatıma katlanabilecek kadar haz aldım mı? Haz dediğimiz şey önceden biriktirip ihtiyaç duyduğunda kutusundan çıkarabildiğimiz bir şey mi?""",172,,2010,Türkçe,9789752897946,
